단어,의미,장르,예문
단사표음,청빈하고 소박한 생활을 이르는 말,문학 및 수사학,"선비는 단사표음의 생활을 했다."
성현,"성인과 현인, 도덕적으로 뛰어난 사람",문학 및 수사학,"성현의 가르침을 따르고자 한다."
자조하다,스스로를 비웃다,문학 및 수사학,"그는 자신의 실수를 자조했다."
관조적,사물이나 현상을 고요히 관찰하여 본질을 꿰뚫어봄,문학 및 수사학,"시인은 관조적 태도로 세상을 바라본다."
세간,세상 또는 집안의 살림살이,문화·예술,"세간에 떠도는 소문을 듣고 놀랐다."
고안되다,생각해 내어 만들어지다,문화·예술,"새로운 교육 방법이 고안되었다."
준언어,"말 이외의 의사소통 수단(억양, 표정 등)",문화·예술,"준언어적 표현이 의사소통에 중요한 역할을 한다."
객지,자기 고향이 아닌 곳,문화·예술,"객지 생활의 외로움을 달래기 위해 음악을 들었다."
표상하다,어떤 뜻이나 생각을 구체적 형상으로 나타내다,문화·예술,"조각가는 평화를 표상하는 작품을 만들었다."
주렴,구슬로 만든 발,문화·예술,"궁궐의 주렴이 바람에 살랑거렸다."
귀양,죄를 지은 사람을 먼 곳으로 보내는 형벌,문화·예술,"정치적 이유로 귀양을 가게 되었다."
심복,마음속을 터놓고 믿는 사람,문화·예술,"왕은 심복에게 중요한 일을 맡겼다."
도술,"신비로운 재주, 도인의 기술",문화·예술,"전설 속 도사는 뛰어난 도술을 부렸다."
대용 표현,다른 말로 바꾸어 나타내다,문화·예술,"'그분'은 높은 사람에 대한 대용 표현이다."
열람하다,책이나 자료를 보다,문화·예술,"도서관에서 고전 문헌을 열람했다."
호걸,호쾌하고 뛰어난 인물,문화·예술,"그는 시대의 호걸로 불렸다."
빈천,가난하고 천함,문화·예술,"빈천한 출신이지만 노력으로 성공했다."
포스트모더니즘,근대주의 이후 탈이성중심주의적 사고를 표명하는 철학적 사조,문화·예술,"포스트모더니즘은 현대 예술에 큰 영향을 끼쳤다."
미학,자연이나 인생 및 예술 등에 담긴 미의 본질과 구조를 해명하는 학문,문화·예술,"미학적 관점에서 이 작품을 분석해보자."
회화적,그림의 성격을 띠는 또는 그런,문화·예술,"이 소설은 회화적 묘사가 뛰어나다."
음풍농월,맑은 바람과 밝은 달을 대상으로 시를 짓고 흥취를 자아내어 즐겁게 놂,문화·예술,"선비들은 음풍농월을 즐겼다."
영상,빛의 굴절이나 반사 등에 의하여 이루어진 물체의 상,문화·예술,"거울에 비친 영상이 흐릿하다."
장막,한데에서 볕 또는 비바람을 피할 수 있도록 둘러치는 막,문화·예술,"무대에 장막이 내려졌다."
섬섬옥수,가냘프고 고운 손을 이르는 말,문화·예술,"그녀의 섬섬옥수가 피아노 건반을 누르고 있다."
형태소,"뜻을 가진 가장 작은 말의 단위, 이야기책의 이야기, 책 등",문화·예술,"'학교에서'는 두 개의 형태소로 나뉜다."
계교,꾀와 계책,법학 및 정치,"그는 교묘한 계교로 상대를 속였다."
만조백관,조정에 가득한 모든 벼슬아치,법학 및 정치,"만조백관이 왕 앞에 나아갔다."
완화,심한 정도를 누그러뜨림,법학 및 정치,"정부는 규제를 완화하기로 했다."
장려,어떤 행동을 하도록 북돋움,법학 및 정치,"창업을 장려하는 정책이 시행되었다."
정치적,"권력, 정책, 정부 등과 관련된 것",법학 및 정치,"이 문제는 정치적 해결이 필요하다."
권리의식,자신의 권리를 인식하고 이를 주장하는 태도,법학 및 정치,"시민들의 권리의식이 높아졌다."
평등주의,모든 사람이 평등해야 한다는 사상,법학 및 정치,"평등주의는 민주주의의 기본 원리이다."
인권,사람으로서 마땅히 누려야 할 권리,법학 및 정치,"인권 침해에 대한 감시가 강화되었다."
대안,기존의 것에 대신할 수 있는 새로운 방안,법학 및 정치,"현재 상황에 대한 대안을 찾아야 한다."
방안,어떤 일을 처리하거나 해결하기 위해 세운 계획이나 방법,법학 및 정치,"경제 활성화 방안이 발표되었다."
방략,어떤 목적을 이루기 위한 계책이나 방편,법학 및 정치,"외교적 방략을 통해 갈등을 해결했다."
절충,서로 대립되는 의견이나 제도를 중간에서 조정하여 타협함,법학 및 정치,"양측의 의견을 절충하여 합의에 도달했다."
은폐,숨겨서 겉으로 드러나지 않게 함,법학 및 정치,"진실을 은폐하려는 시도가 발각되었다."
협의,어떤 일에 대해 서로 의논함,법학 및 정치,"관련 부처 간 협의가 필요하다."
실정,실제의 사정이나 정세,법학 및 정치,"현장의 실정을 파악하고 정책을 수립해야 한다."
경세론,나라를 다스리고 경영하는 일에 관해 논리적으로 일반화한 체계,법학 및 정치,"조선 후기 실학자들은 경세론을 발전시켰다."
공시,일정한 내용을 공개적으로 게시하여 일반에게 널리 알림 또는 그런 글,법학 및 정치,"신규 채용 공시가 발표되었다."
공포,"이미 확정된 법률, 조약, 명령 등을 일반 국민에게 널리 알리는 일",법학 및 정치,"새로운 법률이 관보에 공포되었다."
시정,잘못된 것을 바로잡음,법학 및 정치,"행정기관의 위법행위에 대한 시정을 요구했다."
주권,국가의 의사를 최종적으로 결정하는 권력,법학 및 정치,"국민 주권의 원리에 따라 정치가 이루어져야 한다."
해지권,계약 당사자의 한쪽이 계약을 해지할 수 있는 권리,법학 및 정치,"임대차 계약의 해지권을 행사했다."
급부,"법률상에서 채권의 목적이 되는, 채무자가 하여야 할 행위",법학 및 정치,"계약에 따른 급부 의무를 이행해야 한다."
책망,잘못을 꾸짖거나 나무라며 못마땅하게 여김,법학 및 정치,"공무원의 부적절한 행동에 대해 책망했다."
세부,자세한 부분,법학 및 정치,"정책의 세부 사항을 검토해야 한다."
위엄,존경할 만한 위세가 있어 점잖고 엄숙함,법학 및 정치,"법정의 위엄을 지켜야 한다."
절충안,두 가지 이상의 안을 서로 보충하여 알맞게 조절한 안,법학 및 정치,"양당이 절충안을 마련했다."
인과성,원인과 결과의 관계,사회학 및 심리학,"범죄와 사회 환경 사이의 인과성을 연구했다."
교란하다,흔들어 어지럽히다,사회학 및 심리학,"허위 정보가 여론을 교란하고 있다."
메타버스,가상 세계,사회학 및 심리학,"메타버스에서 새로운 사회적 관계가 형성되고 있다."
야기하다,일으키다,사회학 및 심리학,"이 사건이 큰 논란을 야기했다."
소원하다,멀어지다,사회학 및 심리학,"친구들과 소원해진 것이 안타깝다."
성금,정성으로 모은 기부금,사회학 및 심리학,"재해 지역을 위한 성금이 모였다."
함의,겉에 드러나지 않은 숨겨진 의미,사회학 및 심리학,"그의 말에는 깊은 함의가 담겨 있다."
노출,겉으로 드러나게 함,사회학 및 심리학,"개인정보 노출 사건이 발생했다."
주입,억지로 넣음,사회학 및 심리학,"일방적인 지식 주입보다는 토론이 효과적이다."
유동,일정하지 않고 자주 움직임,사회학 및 심리학,"현대 사회는 유동적 특성을 보인다."
변모,모양이나 모습이 바뀜,사회학 및 심리학,"도시의 모습이 급속히 변모하고 있다."
기여,도움을 주거나 공헌함,사회학 및 심리학,"그의 연구가 학계 발전에 기여했다."
환기,주의나 감정을 불러일으킴,사회학 및 심리학,"이 사건이 안전 의식을 환기시켰다."
합류,여러 갈래가 모여 하나로 됨,사회학 및 심리학,"두 그룹이 합류하여 더 큰 힘을 발휘했다."
절감,강하게 느낌 또는 비용을 줄임,사회학 및 심리학,"교육 예산 절감이 불가피하다."
억제,감정이나 행동을 누르고 참음,사회학 및 심리학,"분노를 억제하고 침착하게 대응했다."
감안,고려하거나 참작함,사회학 및 심리학,"현실적 여건을 감안해야 한다."
고무,자극을 주어 힘을 북돋움,사회학 및 심리학,"성공 사례가 다른 사람들을 고무시켰다."
소저,"젊은 처녀, 아가씨",사회학 및 심리학,"옛날 소저들은 규방에서 생활했다."
급사,갑자기 죽음 또는 급하게 죽는 일,사회학 및 심리학,"스트레스로 인한 급사가 증가하고 있다."
세태,세상의 형편이나 풍조,사회학 및 심리학,"요즘 세태를 보면 걱정이 앞선다."
생경하다,낯설고 어색하다,사회학 및 심리학,"새로운 환경이 생경하게 느껴졌다."
도외시하다,중요하게 여기지 않다,사회학 및 심리학,"안전을 도외시해서는 안 된다."
공시,공적으로 알림,사회학 및 심리학,"채용 공시를 확인해보세요."
절충안,타협하여 조정한 안,사회학 및 심리학,"갈등 해결을 위한 절충안이 제시되었다."
시의성,시대에 알맞음,사회학 및 심리학,"이 정책은 시의성이 있다."
비선형적,일직선이 아니며 순차적이지 않음,사회학 및 심리학,"현대 사회의 발전은 비선형적이다."
만고,"아주 오랜 세월, 영원",사회학 및 심리학,"만고불변의 진리는 없다."
경외감,공경하고 두려워하는 마음,사회학 및 심리학,"자연에 대한 경외감을 가져야 한다."
심연,깊은 못 또는 헤아릴 수 없이 깊은 상태,사회학 및 심리학,"인간 심리의 심연을 탐구했다."
과도기,한 상태에서 다른 상태로 옮아가는 시기,사회학 및 심리학,"사회가 과도기를 겪고 있다."
도회,도시,사회학 및 심리학,"도회 생활에 적응하기 어려웠다."
속물적,"물질만능주의적, 세속적",사회학 및 심리학,"속물적 가치관을 경계해야 한다."
비정형성,정해진 형태가 없음,사회학 및 심리학,"현대 가족의 비정형성이 증가하고 있다."
회의적,의심하는,사회학 및 심리학,"그는 이 계획에 회의적이다."
향유하다,누리다,사회학 및 심리학,"문화 혜택을 향유할 권리가 있다."
와해되다,무너져 흩어지다,사회학 및 심리학,"기존 질서가 와해되고 있다."
침착되다,가라앉아 쌓이다,사회학 및 심리학,"오랜 경험이 그의 마음에 침착되었다."
발산되다,퍼져 나가다,사회학 및 심리학,"긍정적 에너지가 발산되었다."
거론하다,문제로 삼아 논의하다,사회학 및 심리학,"이 문제를 거론해야 한다."
환기하다,주의를 불러일으키다,사회학 및 심리학,"안전 의식을 환기하는 캠페인을 벌였다."
가독성,읽기 쉬운 정도,사회학 및 심리학,"문서의 가독성을 높여야 한다."
응집성,서로 밀접하게 연결되는 성질,사회학 및 심리학,"팀의 응집성이 성과에 영향을 준다."
비약적,급격히 발전하는,사회학 및 심리학,"기술이 비약적으로 발전했다."
경물,경치와 사물,사회학 및 심리학,"봄날의 경물이 아름답다."
삭풍,"북쪽에서 부는 찬 바람, 겨울바람",사회학 및 심리학,"삭풍이 뼛속까지 스며들었다."
풍월,"바람과 달, 자연의 경치 또는 자연을 읊는 시문",사회학 및 심리학,"풍월을 벗 삼아 살고 싶다."
군은,임금의 은혜,사회학 및 심리학,"군은을 입은 신하가 충성을 다했다."
격정,격렬하게 일어나는 감정,사회학 및 심리학,"격정에 휩싸여 이성을 잃었다."
신명,신령스러운 힘 또는 흥이 나서 신바람이 남,사회학 및 심리학,"축제에서 신명이 나서 춤을 추었다."
간구하다,간절히 구하다,사회학 및 심리학,"평화를 간구하는 기도를 올렸다."이입,감정이나 입장을 대신 넣어봄,사회학 및 심리학
착안,주의를 두고 생각을 모음,사회학 및 심리학,"새로운 사업 아이디어에 착안하여 연구를 시작했다."
타개,어려운 상황을 뚫고 나아감,사회학 및 심리학,"경제 위기를 타개하기 위한 방안을 모색했다."
배제,제외하거나 밀어냄,사회학 및 심리학,"차별적 요소를 배제하고 공정한 평가를 실시했다."
파악,확실히 알아내고 이해함,사회학 및 심리학,"현 상황을 정확히 파악해야 대책을 세울 수 있다."
사회,사람들이 모여 생활하는 조직된 공동체,사회학 및 심리학,"현대 사회는 급속한 변화를 겪고 있다."
소수자,사회 내에서 수적으로 적거나 권력에서 소외된 사람들,사회학 및 심리학,"소수자의 인권 보호가 중요한 사회적 과제다."
의견,어떤 사안에 대해 개인이 가지는 생각이나 입장,사회학 및 심리학,"다양한 의견을 수렴하여 최선의 결정을 내렸다."
낙인,사회적으로 부정적인 이미지나 평가가 붙는 것,사회학 및 심리학,"정신질환에 대한 사회적 낙인을 없애야 한다."
중시,어떤 것을 중요하게 여기는 태도,사회학 및 심리학,"교육의 질을 중시하는 정책이 필요하다."
혐오,강하게 싫어하는 감정,사회학 및 심리학,"혐오 표현은 사회 통합을 저해한다."
집단,공통의 목적이나 성격을 지닌 사람들의 모임,사회학 및 심리학,"집단 내에서 개인의 정체성이 형성된다."
다수,수적으로 많은 사람이나 것,사회학 및 심리학,"다수의 의견이 항상 옳은 것은 아니다."
배제,어떤 것을 제외하거나 몰아냄,사회학 및 심리학,"사회적 배제 현상이 심각한 문제가 되고 있다."
구성원,어떤 집단을 이루는 개개인,사회학 및 심리학,"모든 구성원의 참여가 조직의 성공에 중요하다."
권위,사회적으로 인정받는 영향력이나 힘,사회학 및 심리학,"전통적 권위에 대한 젊은 세대의 도전이 나타나고 있다."
소외,사회나 관계에서 밀려나거나 배제된 상태,사회학 및 심리학,"도시화로 인한 개인의 소외감이 증가하고 있다."
공동체,공통의 목적을 지닌 사람들의 집단,사회학 및 심리학,"지역 공동체의 결속력이 약화되고 있다."
인정욕구,다른 사람에게 인정받고자 하는 심리,사회학 및 심리학,"과도한 인정욕구는 스트레스의 원인이 될 수 있다."
집단주의,개인의 이익보다 집단의 이익을 중시하는 태도,사회학 및 심리학,"동아시아 문화는 집단주의적 성향이 강하다."
방어기제,정신적으로 위협을 피하려는 무의식적 반응,사회학 및 심리학,"부정은 대표적인 심리적 방어기제 중 하나다."
피해의식,자신이 피해를 입고 있다고 느끼는 심리,사회학 및 심리학,"과도한 피해의식은 대인관계를 악화시킨다."
갈등조정,서로 충돌하는 이해를 조화롭게 조정하는 것,사회학 및 심리학,"효과적인 갈등조정 기법이 필요하다."
분열,하나였던 것이 나뉘어 갈라지는 것,사회학 및 심리학,"사회적 분열을 치유하는 것이 시급하다."
차별성,서로 다른 특성이 있음,사회학 및 심리학,"제품의 차별성을 강화해야 경쟁력을 갖는다."
모방,본을 따라 무언가를 흉내 내거나 그대로 따름,사회학 및 심리학,"아이들은 모방을 통해 사회적 행동을 학습한다."
배타,다른 것과 섞이지 않거나 받아들이지 않는 태도,사회학 및 심리학,"배타적 민족주의는 국제적 갈등을 야기한다."
잠재,겉으로 드러나지 않고 속에 숨어 있어 가능성만 있는 상태,사회학 및 심리학,"그는 잠재적 리더십을 가지고 있다."
호응,말이나 행동 따위가 서로 어울리거나 들어맞음,사회학 및 심리학,"청중의 호응을 얻는 연설을 했다."
향유,어떤 것을 마음껏 누리고 즐김,사회학 및 심리학,"모든 시민이 문화를 향유할 권리가 있다."
귀속,딸려 붙어 있거나 소속됨,사회학 및 심리학,"개인의 정체성은 귀속 집단에 의해 영향받는다."
저변,어떤 대상의 기반이나 주변부,사회학 및 심리학,"스포츠의 저변 확대가 필요하다."
구조화,체계적으로 짜임새를 갖추어 구조를 만듦,사회학 및 심리학,"정보를 구조화하여 체계적으로 정리했다."
편입,일정한 조직이나 집단에 들어가게 함,사회학 및 심리학,"새로운 구성원을 팀에 편입시켰다."
표피적이다,사물의 본질이나 깊이는 파악하지 못하고 겉으로 드러난 부분에만 관계되는,사회학 및 심리학,"표피적인 분석으로는 문제의 근본을 해결할 수 없다."
탈감정화되다,감정이 배제되어 이성이나 사실 중심으로 변하다,사회학 및 심리학,"의료진은 환자를 대할 때 탈감정화된 태도를 유지한다."
우롱,어리석게 보고 놀리거나 속임,사회학 및 심리학,"그는 상대방을 우롱하는 발언을 했다."
생사고락,삶과 죽음과 괴로움과 즐거움,사회학 및 심리학,"생사고락을 함께한 친구가 가장 소중하다."
편중,무게가 한쪽으로 치우침,사회학 및 심리학,"특정 분야에 편중된 투자는 위험하다."
방약무인,곁에 사람이 없는 것 같이 행동함,사회학 및 심리학,"그의 방약무인한 행동이 주변 사람들을 놀라게 했다."
여건,주어진 조건,사회학 및 심리학,"현실적 여건을 고려하여 계획을 수정했다."
암묵적,자기의 의사를 밖으로 나타내지 않은 것,사회학 및 심리학,"팀 내에는 암묵적인 규칙이 존재한다."
천방지축,못난 사람이 종작없이 덤벙이는 일,사회학 및 심리학,"그 아이는 천방지축으로 뛰어다녔다."
아수라장,싸움이나 그 밖의 다른 일로 큰 혼란에 빠진 곳. 또는 그런 상태,사회학 및 심리학,"선거 개표장은 아수라장이 되었다."
빈천,가난하고 천함,사회학 및 심리학,"빈천한 출신이지만 노력으로 성공을 거두었다."
